"","X.x","one","participant","three","_","tier_num","tier_name","tier_type","tier_xmin","tier_xmax","xmin","xmax","text","annotation_num","word","rate","gender","X.y","count","count_per_mil","log_freq","duration","X","prob","source","log_spanish","length","log_freq_z","duration_z","length_z","rate_z"
"1",74,"arm","00610","00072700102","TextGrid",1,"ORT-MAU","IntervalTier",0,5.632,1.916,2.436,"opciones",5,"opciones",8.34517045454546,"m",64331,1354,32.54807692,3.131939295,0.52,1,0.00141964215035998,"spanish",-6.55735044591676,8,-0.533035993064991,1.35062069284253,1.72208066502842,-0.404482410076456
"2",130,"arm","00610","00073376588","TextGrid",1,"ORT-MAU","IntervalTier",0,5.290667,0.896,1.266,"viaje",3,"viaje",8.12751964922381,"m",92909,5885,141.4663462,3.769820258,0.37,2,0.000287310044952765,"spanish",-8.1549486293018,5,0.113506057981181,0.117029110173283,-0.577207092710356,-0.498774810577077
"3",160,"arm","00610","00073376588","TextGrid",1,"ORT-MAU","IntervalTier",0,5.290667,2.266,2.646,"largo",9,"largo",8.12751964922381,"m",54926,4558,109.5673077,3.658869592,0.38,3,0.000172226774896485,"spanish",-8.66669849085378,5,0.00104891421691586,0.199268549017899,-0.577207092710356,-0.498774810577077
"4",186,"arm","00610","00073376588","TextGrid",1,"ORT-MAU","IntervalTier",0,5.290667,3.386,3.806,"barco",14,"barco",8.12751964922381,"m",12348,3535,84.97596154,3.548512256,0.42,4,8.19051785488126e-05,"spanish",-9.40994833895996,5,-0.110806843368111,0.528226304396366,-0.577207092710356,-0.498774810577077
"5",448,"arm","00610","00099003036","TextGrid",1,"ORT-MAU","IntervalTier",0,6.997333,0.896,1.306,"tejas",4,"tejas",7.14557960868805,"m",87760,71,1.706730769,1.857332496,0.41,5,0.00124652173394624,"spanish",-6.68739821917494,5,-1.82494928395099,0.44598686555175,-0.577207092710356,-0.924178628554973
"6",514,"arm","00610","00099003036","TextGrid",1,"ORT-MAU","IntervalTier",0,6.997333,4.236,4.656,"Texas",17,"texas",7.14557960868805,"m",88532,1337,32.13942308,3.126456113,0.42,6,0.00124652173394624,"spanish",-6.68739821917494,5,-0.538593625197273,0.528226304396366,-0.577207092710356,-0.924178628554973
"7",601,"arm","00610","00118386283","TextGrid",1,"ORT-MAU","IntervalTier",0,4.096,0.906,1.436,"España",5,"españa",8.30078125,"m",39021,716,17.21153846,2.855519156,0.53,7,0.000465571870492375,"spanish",-7.6722440789813,6,-0.813209338855102,1.43286013168715,0.189222159869235,-0.423713051776673
"8",625,"arm","00610","00118386283","TextGrid",1,"ORT-MAU","IntervalTier",0,4.096,2.176,2.456,"días",9,"días",8.30078125,"m",31027,22020,529.3269231,4.342837037,0.28,8,0.000717070560000122,"spanish",-7.24033631216459,4,0.694303205204606,-0.623125839428268,-1.34363634528995,-0.423713051776673
"9",690,"arm","00610","00122244953","TextGrid",1,"ORT-MAU","IntervalTier",0,5.290667,2.846,3.366,"calorías",11,"calorías",8.50554381895515,"m",15104,159,3.822115385,2.204119983,0.52,9,0.00198213680006224,"spanish",-6.22357982423408,8,-1.47345314889212,1.35062069284253,1.72208066502842,-0.335004194803129
"10",877,"arm","00610","00131121944","TextGrid",1,"ORT-MAU","IntervalTier",0,5.034667,2.956,3.376,"Plaza",11,"plaza",7.34904612360659,"m",69251,633,15.21634615,2.802089258,0.42,10,0.000788707483141495,"spanish",-7.14511504966126,5,-0.867364703012142,0.528226304396366,-0.577207092710356,-0.8360312583451
